provinsi;kab_kota;ADM2_PCODE;kepadatan_penduduk;laju_pertumbuhan;kemiskinan;rasio_jk;rasio_dokter;rasio_puskesmas;rasio_rs;TPT;sanitasi;butahuruf;krt_perempuan;pendidikan_rendah;balita;lansia;perkotaan;jamkes;tabungan;internet;telepon;informal;rata2_jumlah_ART;komersial_density;disabilitas;pelatihan_bencana;fasilitas_mitigasi;POI_density;area_terbangun
Jawa Timur;Pasuruan;ID3514;1110.000;0.772;8.63;100.07;0.4061027651;0.3186066270;0.6637638063;5.02;86.36;0.051535;0.038093;0.493077;0.069378;0.122377;0.537320;0.307398;0.333689;0.619431;51.06437824;52.14940318;3.662939506;21.111773330;2.7841874570;31.50684932;89.31506849;8.647349142;4.440809204
Jawa Timur;Sidoarjo;ID3515;2999.000;1.061;4.53;100.95;1.0145154460;0.2284156428;1.4736493080;6.49;97.95;0.012546;0.030058;0.224614;0.074408;0.099304;0.995802;0.115796;0.507593;0.794842;66.90530392;32.63798266;3.732754195;47.920004420;1.8144307110;41.04046243;92.48554913;10.792221420;12.779031650
Jawa Timur;Mojokerto;ID3516;1172.000;0.768;9.37;101.06;0.6523677136;0.3742667361;0.9529940039;3.87;91.14;0.046920;0.033532;0.352838;0.070871;0.140953;0.582959;0.272426;0.431692;0.689652;55.69956943;52.29771511;3.742083893;25.898805650;2.6891758070;42.76315789;92.43421053;7.018808905;5.902259744
Jawa Timur;Jombang;ID3517;1228.000;0.844;8.60;101.59;0.4725922197;0.3992083346;1.1007582760;3.75;96.13;0.053827;0.038222;0.342679;0.071459;0.158683;0.720451;0.282395;0.416025;0.685757;54.46694152;53.51211409;3.765457505;24.119692930;4.6180478860;36.60130719;95.75163399;7.055071001;5.066949448
Jawa Timur;Nganjuk;ID3518;878.000;0.631;10.17;100.98;0.3172002965;0.2827412114;0.3534265142;3.87;90.96;0.062418;0.035817;0.407446;0.067087;0.184061;0.459686;0.264821;0.452738;0.629972;50.61660676;67.38433094;3.599352248;16.649987980;3.9627947910;51.40845070;98.94366197;5.266587540;4.115554167
Jawa Timur;Madiun;ID3519;681.000;0.437;10.63;97.90;0.3496784937;0.5489292581;0.3958624457;4.34;91.47;0.075595;0.052316;0.406541;0.061017;0.210277;0.391941;0.091135;0.468680;0.638042;53.93464444;66.29098322;3.360685300;14.127672570;5.4708190000;60.67961165;93.68932039;4.573332256;3.742058132
Jawa Timur;Magetan;ID3520;970.000;0.557;9.32;96.76;0.3822027717;0.5134938001;0.8752735230;3.28;89.99;0.062257;0.046245;0.412372;0.057583;0.238643;0.486825;0.375896;0.445539;0.629407;51.82971853;69.83941932;3.581294567;19.769548720;5.6236323850;46.80851064;98.29787234;8.388539720;6.357205547
Jawa Timur;Ngawi;ID3521;633.000;0.386;13.81;98.12;0.4976891388;0.4343468848;0.5655558396;2.40;82.99;0.080373;0.047948;0.425959;0.056404;0.212128;0.281309;0.219448;0.526277;0.621761;53.63047835;72.37949635;3.215728079;11.044562260;4.2190465630;39.17050691;97.23502304;5.360366815;3.402539210
Jawa Timur;Bojonegoro;ID3522;573.000;0.432;11.69;100.62;0.3704824345;0.4225461575;0.8300013808;4.42;96.43;0.075000;0.031066;0.439947;0.061600;0.175103;0.287520;0.009316;0.436853;0.591524;51.07935815;68.68894848;3.631649495;10.001167500;4.6185804110;58.83720930;91.86046512;4.907832208;2.530600316
Jawa Timur;Tuban;ID3523;621.000;0.542;14.36;99.65;0.3689178546;0.4309482903;0.4897139662;4.28;85.12;0.058435;0.030018;0.447448;0.063701;0.158290;0.338265;0.101479;0.336666;0.586299;48.38522945;61.57456776;3.693165933;9.960476311;4.0466697410;39.63414634;75.60975610;5.141119838;2.521724928
Jawa Timur;Lamongan;ID3524;786.000;0.635;12.16;100.00;0.5289711475;0.3715133436;1.3786627990;4.34;95.88;0.056955;0.034028;0.377811;0.061859;0.172753;0.307254;0.269131;0.418790;0.645148;51.59602900;59.02507971;3.890804903;14.664719210;3.3595835570;25.10548523;93.24894515;4.592317040;3.056264156
Jawa Timur;Gresik;ID3525;1086.000;1.007;10.32;101.35;0.8277010804;0.3753613403;1.4662552350;6.45;93.22;0.026104;0.033744;0.299657;0.074600;0.119527;0.697849;0.052325;0.450938;0.760720;59.62585058;43.61929080;3.917506642;21.420611930;2.6458575720;39.04494382;87.35955056;4.415135789;4.940623286
Jawa Timur;Bangkalan;ID3526;847.000;0.980;18.66;97.65;0.2612192773;0.3192680055;0.7256091035;5.35;50.31;0.075280;0.042657;0.591487;0.071585;0.152817;0.336703;0.639388;0.266987;0.513494;50.44666231;75.11996688;4.077468095;10.024365310;2.6711485120;5.69395018;59.43060498;3.798528858;3.678613308
Jawa Timur;Sampang;ID3527;827.000;1.175;20.83;98.83;0.2125452889;0.3463701004;0.4920029835;2.50;87.24;0.154561;0.043923;0.611831;0.075657;0.126246;0.228932;0.495051;0.198636;0.516349;47.22335610;84.93953130;3.960472126;12.536535720;3.2629637870;15.59139785;99.46236559;4.708324852;3.795625728
Jawa Timur;Pamekasan;ID3528;1113.000;1.016;13.41;96.78;0.3255351832;0.3797910471;1.0172974480;1.64;72.94;0.075844;0.049451;0.490411;0.071859;0.130537;0.332878;0.216193;0.334333;0.599596;53.73819605;77.62556445;3.813164959;14.671445640;3.6487068450;28.57142857;93.12169312;8.892661762;5.252402335
Jawa Timur;Sumenep;ID3529;553.000;0.576;17.78;94.06;0.2679528403;0.4162374218;0.4335806477;1.69;73.31;0.074784;0.049930;0.497433;0.059090;0.170441;0.262387;0.137573;0.345031;0.519413;57.10805815;74.69000432;3.255830791;10.354987000;5.0624876430;10.47904192;38.92215569;3.909271504;2.280218144
Jawa Timur;Kota Kediri;ID3571;4436.000;1.016;6.51;100.56;2.4578592820;0.4828536652;4.3590955880;3.91;95.39;0.031836;0.040273;0.234270;0.068150;0.137722;1.000000;0.021668;0.579970;0.801716;66.91236254;37.58291560;3.804822358;91.625762310;6.0893212220;65.21739130;100.00000000;17.953294660;17.189384810
