provinsi;kab_kota;ADM2_PCODE;kepadatan_penduduk;laju_pertumbuhan;kemiskinan;rasio_jk;rasio_dokter;rasio_puskesmas;rasio_rs;TPT;sanitasi;butahuruf;krt_perempuan;pendidikan_rendah;balita;lansia;perkotaan;jamkes;tabungan;internet;telepon;informal;rata2_jumlah_ART;komersial_density;disabilitas;pelatihan_bencana;fasilitas_mitigasi;POI_density;area_terbangun
Jawa Barat;Subang;ID3213;768.000;0.812;9.49;100.20;0.2356959042;0.3848096395;0.6613915679;6.73;90.29;0.043495;0.034561;0.483253;0.062793;0.155319;0.478139;0.426058;0.420614;0.633579;55.46875832;59.80465531;3.300158490;11.798850180;2.3617691620;27.27272727;97.62845850;3.432846159;3.442986709
Jawa Barat;Purwakarta;ID3214;1058.000;1.273;8.41;102.83;0.5912371232;0.3046632519;1.0472799280;7.34;83.01;0.033520;0.028541;0.459579;0.080444;0.115972;0.700395;0.253148;0.374591;0.701584;56.86288083;46.88611675;3.776071873;15.857575850;2.3211531500;77.08333333;94.27083333;4.887774522;4.102092764
Jawa Barat;Karawang;ID3215;1335.000;1.124;7.86;102.14;0.5590397670;0.3131875445;1.0178595200;8.04;85.99;0.033105;0.027394;0.450173;0.076075;0.109891;0.758361;0.258675;0.367904;0.663339;56.23113365;55.25834275;3.574100768;20.762288960;1.7785137690;39.80582524;83.81877023;4.451562671;5.249363426
Jawa Barat;Bekasi;ID3216;2617.000;1.127;4.80;102.51;0.8036360637;0.2492463048;1.6799689660;8.82;89.16;0.020946;0.026936;0.268437;0.086461;0.068649;0.963832;0.061788;0.445928;0.790746;62.87202257;38.28340851;3.658571641;30.194561240;0.8256283848;75.93582888;100.00000000;5.985515819;10.116749890
Jawa Barat;Bandung Barat;ID3217;1468.000;1.323;10.49;103.89;0.2807572485;0.2717348038;0.6368784464;6.70;54.02;0.022016;0.030758;0.470188;0.077904;0.119348;0.783998;0.405184;0.375455;0.690463;55.55932909;52.05257830;3.723192701;20.088979620;1.7928128270;69.09090909;99.39393939;7.916225145;4.292520848
Jawa Barat;Pangandaran;ID3218;385.000;0.603;8.75;99.83;0.2326652845;0.5528680028;0.2303616678;1.58;90.30;0.031865;0.024314;0.482078;0.061093;0.182696;0.456353;0.172318;0.578513;0.636758;54.45513517;68.01695309;3.342555378;6.284458154;4.4644091220;64.51612903;100.00000000;2.857700012;1.182418260
Jawa Barat;Kota Bogor;ID3271;9683.000;0.719;6.53;103.00;1.5282607690;0.3709370798;2.0401539390;8.13;71.49;0.014679;0.026996;0.279024;0.073854;0.099656;1.000000;0.122106;0.490045;0.806474;67.01587879;31.10342778;3.952662285;85.965699920;1.0840636160;79.41176471;100.00000000;28.526533180;25.094827870
Jawa Barat;Kota Sukabumi;ID3272;7571.000;1.414;7.20;102.54;0.9104828567;0.6562038607;1.6405096520;8.34;45.88;0.033926;0.034659;0.306602;0.075632;0.125644;1.000000;0.223246;0.510600;0.779267;64.91498107;46.51471115;3.907208186;98.344028150;1.7115984030;93.93939394;93.93939394;28.710411920;19.040311830
Jawa Barat;Kota Bandung;ID3273;15176.000;0.862;3.87;100.98;2.1177457120;0.5062970698;1.6612872600;7.40;55.90;0.032420;0.040581;0.242007;0.068971;0.109104;1.000000;0.187907;0.561797;0.859131;70.60541747;41.39020438;3.678699351;234.521880100;1.9480570850;82.78145695;100.00000000;34.623927010;32.074865930
Jawa Barat;Kota Cirebon;ID3274;8744.000;0.848;9.02;100.76;1.8268812530;1.0207336520;2.8998115120;6.29;95.38;0.037151;0.033776;0.265328;0.070878;0.120798;1.000000;0.067996;0.512289;0.786448;62.96292569;40.10717436;3.706480715;77.256592290;1.8616789910;81.81818182;90.90909091;26.952332660;27.612941400
Jawa Barat;Kota Bekasi;ID3275;12411.000;0.643;4.01;100.73;1.2151766600;0.2904623950;1.8153899680;7.82;99.08;0.010117;0.028497;0.195913;0.074309;0.070345;1.000000;0.123574;0.617994;0.863262;72.64948977;30.60485059;3.832440440;107.162974100;0.7325854935;67.85714286;94.64285714;19.653586180;34.056256970
Jawa Barat;Kota Depok;ID3276;10823.000;0.848;2.34;100.90;1.1623930040;0.2810079311;1.2941154720;6.27;98.76;0.014461;0.026668;0.205239;0.079258;0.082636;1.000000;0.149959;0.574791;0.863585;71.52758638;30.74400389;3.936486235;83.117402830;0.5721839123;82.53968254;100.00000000;18.213195940;30.329649150
Jawa Barat;Kota Cimahi;ID3277;14110.000;1.337;4.39;101.29;1.2426925000;0.3474194087;1.3362284950;8.97;76.44;0.024647;0.028392;0.205353;0.075249;0.094515;1.000000;0.164768;0.579778;0.865417;69.11599271;35.56726729;3.715859798;138.675465500;2.0344078840;100.00000000;100.00000000;30.850813100;28.820378470
Jawa Barat;Kota Tasikmalaya;ID3278;4081.000;1.200;11.10;101.60;0.7312882128;0.4688769598;1.9980552260;6.49;53.16;0.012629;0.033379;0.389060;0.073767;0.123996;0.988208;0.258614;0.525684;0.763467;59.76937818;42.81727826;3.830778676;50.163096660;1.3626736640;71.01449275;100.00000000;20.153310860;11.017651240
Jawa Barat;Kota Banjar;ID3279;1601.000;1.108;5.85;102.47;0.8818342152;0.7626674293;1.9066685730;5.44;91.07;0.036156;0.034293;0.420139;0.066273;0.159465;0.867061;0.034190;0.518245;0.678684;55.35630362;54.17225762;3.600648827;30.356461340;4.1803708470;100.00000000;100.00000000;9.281734219;5.725977784
Jawa Tengah;Kabupaten Cilacap;ID3301;872.000;0.976;10.68;101.40;0.3038404246;0.2998944450;0.6412216753;7.83;83.25;0.051821;0.033910;0.492856;0.072048;0.156735;0.425403;0.365775;0.455597;0.686761;52.89853045;64.44755169;3.709903265;9.083320066;2.7261786150;70.77464789;99.64788732;4.435589712;3.100367611
Jawa Tengah;Kabupaten Banyumas;ID3302;1328.000;1.012;11.95;101.20;0.6339667587;0.3464890910;1.3534730120;6.18;83.25;0.044318;0.039120;0.443193;0.070684;0.167753;0.597418;0.205485;0.523824;0.717690;53.25364968;59.75998118;3.703804144;17.199439310;3.9023333870;61.63141994;100.00000000;7.766955397;4.755307952
Jawa Tengah;Kabupaten Purbalingga;ID3303;1288.000;1.003;14.18;102.40;0.3276666281;0.3392313326;0.8673528391;4.96;82.01;0.066300;0.027558;0.502013;0.074167;0.167436;0.389508;0.210122;0.499167;0.698710;46.75448756;58.75303623;4.017551298;18.267225970;4.6172082800;61.92468619;100.00000000;7.221753376;4.232772687
Jawa Tengah;Kabupaten Banjarnegara;ID3304;924.000;0.993;14.71;102.90;0.2401754983;0.5295207837;0.3782291312;5.57;52.40;0.070807;0.020687;0.555351;0.071896;0.159582;0.316062;0.415085;0.398350;0.662071;49.28419265;68.19589966;3.837769415;15.367280990;5.0975831160;64.74820144;100.00000000;5.495676478;2.928336509
Jawa Tengah;Kabupaten Kebumen;ID3305;1060.000;1.231;15.71;102.80;0.3619013960;0.3958296519;0.8482063969;5.07;93.43;0.061558;0.031733;0.469571;0.068684;0.185477;0.345544;0.291032;0.515720;0.755935;49.10115089;70.77996386;3.730845999;15.858631290;5.9494610360;75.00000000;99.34782609;5.597031707;3.778846076
Jawa Tengah;Kabupaten Purworejo;ID3306;735.000;0.850;10.87;100.30;0.3999849062;0.5433757217;1.5093770050;3.89;84.64;0.051061;0.040574;0.381698;0.060646;0.205289;0.362671;0.287295;0.530185;0.720943;53.90514677;66.30216776;3.450217710;12.846936610;7.6324163870;55.26315789;98.17813765;4.806972467;3.005188682
Jawa Tengah;Kabupaten Wonosobo;ID3307;910.000;1.187;15.28;103.70;0.3117836851;0.4171600526;0.5431771518;4.02;63.81;0.076420;0.028058;0.585252;0.072462;0.155751;0.312367;0.379577;0.386991;0.687636;47.54765664;68.08548140;3.666374021;15.951641920;4.7136913230;84.52830189;100.00000000;5.208477492;2.832101850
Jawa Tengah;Kabupaten Magelang;ID3308;187.000;0.812;10.83;101.10;0.3205486600;0.3458943680;0.5218234001;3.55;83.77;0.071650;0.033508;0.461137;0.066698;0.167909;0.358411;0.337149;0.412727;0.701801;48.61164670;65.58343919;3.703590641;19.286182060;5.0348503490;62.90322581;100.00000000;6.971804811;4.975961845
Jawa Tengah;Kabupaten Boyolali;ID3309;1003.000;0.899;9.63;100.90;0.4564258763;0.3636859572;1.1819793610;3.16;88.26;0.073496;0.037440;0.408228;0.066706;0.188121;0.406817;0.279943;0.479634;0.696066;51.74516598;62.69676024;3.576930108;16.689920570;4.8824839750;43.82022472;100.00000000;6.891363226;5.652478621
Jawa Tengah;Kabupaten Klaten;ID3310;1851.000;0.654;12.04;99.00;0.6188118812;0.4207920792;1.0055693070;3.97;97.86;0.062142;0.038640;0.310712;0.062812;0.195613;0.749942;0.186415;0.485195;0.751631;56.27592133;51.35659810;3.463620073;29.857448330;5.6977103960;91.52119701;100.00000000;9.814682823;9.866430460
Jawa Tengah;Kabupaten Sukoharjo;ID3311;1908.000;0.965;7.47;99.90;0.8060319652;0.2038974141;0.9557691287;3.65;97.08;0.050427;0.037760;0.282128;0.063189;0.158508;0.845124;0.216715;0.484439;0.749937;61.29200137;42.20055029;3.629372364;30.212955650;4.5834439550;55.68862275;100.00000000;8.469596580;10.774522680
Jawa Tengah;Kabupaten Wonogiri;ID3312;553.000;0.295;10.71;99.50;0.4287814827;0.5160555898;0.8537684390;2.40;96.25;0.073742;0.033125;0.450204;0.052536;0.242904;0.282950;0.320270;0.464782;0.662932;53.82940941;66.97902399;3.633645347;7.049193231;6.1547218140;92.51700680;100.00000000;3.082251082;3.203750578
Jawa Tengah;Kabupaten Karanganyar;ID3313;1198.000;0.712;9.59;99.40;0.4563836534;0.3493050285;0.9356384693;3.47;98.54;0.063991;0.036744;0.327726;0.066717;0.165350;0.588195;0.269493;0.506333;0.693860;59.60210099;47.75873498;3.788304285;16.975281740;3.7893358010;55.93220339;100.00000000;5.710727850;6.696447963
Jawa Tengah;Kabupaten Sragen;ID3314;1010.000;0.732;12.41;99.20;0.4677733986;0.3981050201;1.2938413150;3.53;95.71;0.095623;0.041817;0.411627;0.063421;0.189431;0.400983;0.376865;0.499085;0.658171;54.25773758;61.94039058;3.467989420;15.530329690;3.6814761730;34.61538462;100.00000000;5.623535799;5.881869307
Jawa Tengah;Kabupaten Grobogan;ID3315;744.000;0.904;11.43;100.60;0.3578138173;0.3186468132;0.7966170330;3.23;93.94;0.056751;0.038012;0.499776;0.067608;0.156896;0.241810;0.410660;0.464747;0.677262;53.09433045;70.89615748;3.455397851;11.637720190;3.2860452610;27.14285714;100.00000000;5.005805766;3.568345901
Jawa Tengah;Kabupaten Blora;ID3316;464.000;0.710;11.42;100.00;0.3733521294;0.4581548255;1.2114670870;3.67;90.81;0.108565;0.035642;0.459705;0.062004;0.167765;0.313656;0.370301;0.474376;0.699101;51.79769071;75.28907116;3.503648776;8.702338437;4.2280201320;31.18644068;100.00000000;3.467549520;2.520981501
Jawa Tengah;Kabupaten Rembang;ID3317;641.000;0.757;14.02;101.00;0.3667849197;0.4088749925;0.6012867537;2.84;94.89;0.060477;0.036620;0.425712;0.060451;0.144268;0.363815;0.184966;0.448757;0.687697;54.03224968;57.84108590;3.601229486;12.009175550;5.0778666350;29.93197279;88.09523810;4.891377682;2.908200857
Jawa Tengah;Kabupaten Pati;ID3318;872.000;0.839;9.17;99.70;0.4632263900;0.3384835354;0.8024394158;3.87;96.33;0.057073;0.055317;0.404863;0.061796;0.168219;0.414820;0.280833;0.474375;0.712642;62.08758469;63.76685301;3.443911042;15.872592030;4.6402882950;14.77832512;96.79802956;5.287049399;4.410197854
Jawa Tengah;Kabupaten Kudus;ID3319;1974.000;0.995;7.23;99.50;0.7234071458;0.3441561382;1.2453018160;3.19;95.90;0.043514;0.028042;0.350525;0.066627;0.117154;0.850890;0.196279;0.479475;0.748294;59.72548280;36.94567302;3.980369514;27.430997880;3.3996739570;72.72727273;100.00000000;7.987484635;8.388049251
Jawa Tengah;Kabupaten Jepara;ID3320;1208.000;0.966;6.09;101.20;0.3804100967;0.2855103498;0.4866653689;3.34;68.05;0.042726;0.037808;0.384915;0.075245;0.132449;0.676232;0.364164;0.478836;0.710188;56.32560608;46.44354172;3.791513735;16.107816710;4.0158004020;56.41025641;96.41025641;6.338642490;5.441648821
Jawa Tengah;Kabupaten Demak;ID3321;1281.000;1.008;11.89;101.80;0.3830897787;0.3447808008;0.4788622234;4.75;95.13;0.049406;0.038769;0.387726;0.071873;0.117654;0.454398;0.223432;0.412252;0.664808;53.53885767;48.56876009;3.726391523;16.207288010;3.2610517410;44.17670683;98.39357430;6.872781943;4.873638736
Jawa Tengah;Kabupaten Semarang;ID3322;1069.000;0.842;6.96;99.10;0.4597300348;0.3817319251;0.5505748919;3.73;86.32;0.050309;0.041421;0.383571;0.067302;0.152015;0.476685;0.065805;0.471397;0.743855;57.32189501;51.16627030;3.712603647;17.521363330;3.8081430030;65.53191489;100.00000000;6.460506048;4.937334998
Jawa Tengah;Kabupaten Temanggung;ID3323;942.000;0.792;8.67;100.80;0.3951502062;0.5105046142;0.4908698213;2.35;71.77;0.043852;0.024889;0.487224;0.067689;0.157556;0.328959;0.414585;0.411118;0.650937;49.79283450;71.12854548;3.830905446;13.350600700;4.4718240720;55.01730104;100.00000000;5.127019183;4.225927474
Jawa Tengah;Kabupaten Kendal;ID3324;1056.000;1.140;9.35;101.60;0.3916191621;0.4507846470;0.6573942769;5.01;83.05;0.054167;0.035516;0.445744;0.068180;0.138226;0.557580;0.318110;0.444596;0.704322;55.49506543;53.26340819;3.683693246;14.832559620;4.0270095130;45.80419580;97.90209790;6.046899179;4.756417288
Jawa Tengah;Kabupaten Batang;ID3325;978.000;1.122;8.73;101.50;0.2398024314;0.4008637660;0.3579140768;5.67;65.92;0.068418;0.034687;0.520963;0.068978;0.135625;0.483434;0.333256;0.370148;0.656778;52.56157087;55.77610950;3.932981008;15.099093630;3.6161252220;39.51612903;97.98387097;5.658660632;3.571305928
Jawa Tengah;Kabupaten Pekalongan;ID3326;1141.000;1.151;8.95;103.30;0.2924407023;0.4239408838;0.5888067831;3.30;82.61;0.070029;0.028441;0.504532;0.074703;0.127349;0.594854;0.276349;0.434390;0.669472;50.55182491;48.65207300;4.262367233;17.535921870;3.9950540230;37.54385965;100.00000000;4.738439484;3.982475865
Jawa Tengah;Kabupaten Pemalang;ID3327;1355.000;1.188;14.92;102.60;0.2419422841;0.2594555326;0.5837749483;6.63;84.32;0.081857;0.023439;0.542136;0.074229;0.141395;0.582884;0.329467;0.476291;0.709550;51.37865852;64.57804373;4.049735434;14.447736520;3.4254616690;39.91031390;97.75784753;5.549450066;4.224135304
Jawa Tengah;Kabupaten Tegal;ID3328;1702.000;1.209;6.81;102.70;0.2866013852;0.2770480057;0.6567948412;7.53;87.09;0.069899;0.035600;0.471614;0.076759;0.135877;0.659585;0.352749;0.468232;0.639793;50.05799003;50.75926527;3.892957098;16.983433280;3.4004060190;40.06968641;100.00000000;6.545380628;5.958067139
Jawa Tengah;Kabupaten Brebes;ID3329;1185.000;1.096;15.60;102.80;0.2580488986;0.2943597192;0.7746308400;8.35;85.85;0.077967;0.038990;0.549757;0.072211;0.139267;0.510378;0.260715;0.491272;0.681151;48.36955290;66.68610050;3.818136406;11.983520870;3.6122004360;30.30303030;100.00000000;5.063661558;3.916576563
Jawa Tengah;Kota Magelang;ID3371;6596.000;0.164;5.94;98.50;3.8797680310;0.6534346157;7.3511394270;4.40;88.55;0.016842;0.044280;0.210370;0.058903;0.155582;1.000000;0.027351;0.579802;0.789516;68.22673095;41.58796150;3.733593550;92.079741380;4.5086988480;100.00000000;100.00000000;26.724137930;25.770000790
Jawa Tengah;Kota Surakarta;ID3372;11302.000;0.209;8.31;96.90;2.4732974770;0.5151124915;3.9769714420;4.61;85.07;0.018889;0.050017;0.205702;0.059320;0.135627;1.000000;0.041857;0.613448;0.850550;71.38205737;38.24981255;3.534262939;234.610445200;2.7649420500;94.44444444;100.00000000;32.983732880;34.671497890
Jawa Tengah;Kota Salatiga;ID3373;3661.000;1.207;4.57;97.50;1.7637998710;0.4769712327;2.9810702040;3.86;96.28;0.025823;0.045969;0.214781;0.066899;0.134016;1.000000;0.058157;0.583690;0.875116;72.00938085;37.37628763;3.622895066;91.960712990;3.5275997420;69.56521739;100.00000000;15.751182250;15.974640970
Jawa Tengah;Kota Semarang;ID3374;4618.000;0.832;4.03;97.90;1.7421276550;0.3557989970;2.1652241590;5.82;95.83;0.024831;0.044142;0.216878;0.065309;0.105212;0.996745;0.059446;0.574570;0.824726;70.08956786;32.04188963;3.772245433;63.094594590;1.9475313520;59.32203390;99.43502825;17.400000000;18.573841680
Jawa Tengah;Kota Pekalongan;ID3375;6950.000;1.134;6.71;102.00;1.0059171600;0.6976019931;2.4914356900;4.91;89.38;0.039953;0.038565;0.347046;0.071910;0.105080;1.000000;0.182280;0.467028;0.740272;59.30917976;37.40686284;3.921709702;75.173160170;1.7907194020;55.55555556;100.00000000;23.051948050;24.443703360
Jawa Tengah;Kota Tegal;ID3376;7316.000;1.061;7.64;101.60;1.1230058770;0.4478029667;1.3993842710;5.88;92.48;0.037075;0.050374;0.341710;0.069968;0.121329;1.000000;0.136727;0.475355;0.740534;61.13056359;37.82778741;3.676232753;58.265097240;5.1427371960;40.74074074;100.00000000;19.651995910;24.738692550
